date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:29	24553/24553	---M--	200	added ('OK')	text/html	etag:%22752861223%22	http://10.41.39.153/live/index.html	C:/My%20Web%20Sites/pana/10.41.39.153/live/index.html	(from )
15:47:30	341/341	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Feb%202023%2000:54:25%20GMT	http://10.41.39.153/robots.txt		(from )
15:47:30	1421/1421	---M--	200	added ('OK')	image/png	etag:%22782843940%22	http://10.41.39.153/css/pc/parts/windows_icon_16x16.png	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/parts/windows_icon_16x16.png	(from http://10.41.39.153/live/index.html)
15:47:30	2184/2184	---M--	200	added ('OK')	image/png	etag:%222143420450%22	http://10.41.39.153/css/pc/parts/windows_icon_32x32.png	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/parts/windows_icon_32x32.png	(from http://10.41.39.153/live/index.html)
15:47:30	2980/2980	---M--	200	added ('OK')	image/png	etag:%223999449121%22	http://10.41.39.153/css/pc/parts/windows_icon_48x48.png	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/parts/windows_icon_48x48.png	(from http://10.41.39.153/live/index.html)
15:47:30	4046/4046	---M--	200	added ('OK')	image/png	etag:%222104737829%22	http://10.41.39.153/css/pc/parts/windows_icon_64x64.png	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/parts/windows_icon_64x64.png	(from http://10.41.39.153/live/index.html)
15:47:31	9954/9954	---M--	200	added ('OK')	image/png	etag:%22874086436%22	http://10.41.39.153/css/pc/parts/windows_icon_152x152.png	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/parts/windows_icon_152x152.png	(from http://10.41.39.153/live/index.html)
15:47:31	11732/11732	---M--	200	added ('OK')	image/png	etag:%22501956645%22	http://10.41.39.153/css/pc/parts/windows_icon_180x180.png	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/parts/windows_icon_180x180.png	(from http://10.41.39.153/live/index.html)
15:47:31	9942/9942	---M--	200	added ('OK')	text/css	etag:%221832484902%22	http://10.41.39.153/css/pc/control.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/control.css	(from http://10.41.39.153/live/index.html)
15:47:31	182/182	---M--	200	added ('OK')	text/css	etag:%22699400224%22	http://10.41.39.153/css/pc/control_hires.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/control_hires.css	(from http://10.41.39.153/live/index.html)
15:47:31	1541/1541	---M--	200	added ('OK')	text/css	etag:%22606699552%22	http://10.41.39.153/css/pc/jquery.alerts.live.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/jquery.alerts.live.css	(from http://10.41.39.153/live/index.html)
15:47:32	4649/4649	---M--	200	added ('OK')	text/css	etag:%222865528869%22	http://10.41.39.153/css/pc/display_base.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/display_base.css	(from http://10.41.39.153/live/index.html)
15:47:32	377/377	---M--	200	added ('OK')	text/css	etag:%22264781856%22	http://10.41.39.153/css/pc/display_base_header.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/display_base_header.css	(from http://10.41.39.153/live/index.html)
15:47:32	37217/37217	---M--	200	added ('OK')	text/css	etag:%223635167269%22	http://10.41.39.153/css/pc/camera_live_area.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/camera_live_area.css	(from http://10.41.39.153/live/index.html)
15:47:33	2686/2686	---M--	200	added ('OK')	text/css	etag:%22410157094%22	http://10.41.39.153/css/pc/tracking_controller.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/tracking_controller.css	(from http://10.41.39.153/live/index.html)
15:47:33	122429/122429	---M--	200	added ('OK')	text/css	etag:%22710902310%22	http://10.41.39.153/css/pc/camera_controller_setting_live.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/camera_controller_setting_live.css	(from http://10.41.39.153/live/index.html)
15:47:35	1161/1161	---M--	200	added ('OK')	text/css	etag:%221338572838%22	http://10.41.39.153/css/pc/camera_controller_setting_ptz.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/camera_controller_setting_ptz.css	(from http://10.41.39.153/live/index.html)
15:47:35	1858/1858	---M--	200	added ('OK')	text/css	etag:%221905377318%22	http://10.41.39.153/css/pc/camera_detail_table.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/camera_detail_table.css	(from http://10.41.39.153/live/index.html)
15:47:35	659/659	---M--	200	added ('OK')	text/css	etag:%221217953824%22	http://10.41.39.153/css/pc/tracking_setting.css	C:/My%20Web%20Sites/pana/10.41.39.153/css/pc/tracking_setting.css	(from http://10.41.39.153/live/index.html)
